iter	Passed	Remaining
946	7123	398
947	7129	391
948	7136	383
949	7142	375
950	7148	368
951	7156	360
952	7162	353
953	7169	345
954	7175	338
955	7181	330
956	7190	323
957	7195	315
958	7204	308
959	7210	300
960	7218	292
961	7223	285
962	7229	277
963	7237	270
964	7242	262
965	7249	255
966	7255	247
967	7261	240
968	7269	232
969	7275	225
970	7282	217
971	7288	209
972	7294	202
973	7303	194
974	7310	187
975	7317	179
976	7324	172
977	7329	164
978	7337	157
979	7343	149
980	7350	142
981	7357	134
982	7365	127
983	7373	119
984	7380	112
985	7387	104
986	7393	97
987	7400	89
988	7406	82
989	7411	74
990	7424	67
991	7432	59
992	7438	52
993	7444	44
994	7452	37
995	7458	29
996	7465	22
997	7471	14
998	7480	7
999	7486	0
